exponent,time_mean,memory_mean,t1,t2,t3,t4,t5,m1,m2,m3,m4,m5
6 MPI,0.005505195800014917,44852.0,0.00315173999979379,0.005738063000080729,0.005746840000028897,0.004006517000107124,0.008882819000064046,44136.0,44744.0,45052.0,45140.0,45188.0
7 MPI,0.02728984200011837,45420.8,0.023150247000103263,0.023415010000007896,0.029215131000000838,0.034844937000343634,0.025823885000136215,45544.0,44824.0,45760.0,45392.0,45584.0
8 MPI,0.0739616388000286,48340.0,0.0729102610002883,0.0811236619997544,0.08582476900028269,0.06329018499991435,0.06665931699990324,48452.0,48448.0,47740.0,48440.0,48620.0
9 MPI,0.3239013899999918,60753.6,0.33502739999994446,0.32625286499978756,0.3130012500000703,0.3336551950001194,0.3115702400000373,60692.0,60584.0,60768.0,60932.0,60792.0
10 MPI,1.9734662450000542,109984.8,1.9745565680000254,1.9738934460001474,1.9708118759999707,1.9697811229998479,1.9782882120002796,109884.0,110200.0,109584.0,110072.0,110184.0
11 MPI,15.107547805800005,306612.8,15.11717991200021,15.073204916999657,15.11073724500011,15.112203008000051,15.124413946999994,306548.0,306824.0,306568.0,306516.0,306608.0
12 MPI,117.22914520040013,1093093.6,117.3144714,117.3090739270001,117.34079946900056,117.31188550499974,116.86949570100023,1093016.0,1092912.0,1093332.0,1093060.0,1093148.0
6 SEC,0.019605919799960247,90328.0,0.0189724369997748,0.019679081000049337,0.020375796999815066,0.019406973000059224,0.01959531100010281,90328.0,90328.0,90328.0,90328.0,90328.0
7 SEC,0.04921703999998499,90328.0,0.048374201000115136,0.04938016599999173,0.0493045709999933,0.04966163900007814,0.049364622999746643,90328.0,90328.0,90328.0,90328.0,90328.0
8 SEC,0.1744864736000636,90328.0,0.17725510200034478,0.1733394259999841,0.17357615199989596,0.1739198039999792,0.17434188400011408,90328.0,90328.0,90328.0,90328.0,90328.0
9 SEC,0.8318701096001859,90328.0,0.8306139000001167,0.8401869850004005,0.8381296229999862,0.8236760620002315,0.8267439780001951,90328.0,90328.0,90328.0,90328.0,90328.0
10 SEC,4.520915783400051,90328.0,4.518278625000221,4.515260805999787,4.517735109000114,4.488614104000135,4.5646902729999965,90328.0,90328.0,90328.0,90328.0,90328.0
11 SEC,26.019327671799875,131990.4,25.927749363999737,25.883563715000037,25.887511626000105,26.452818032999858,25.944995620999634,131952.0,131952.0,131952.0,132144.0,131952.0
12 SEC,169.48952086539992,426860.8,167.03305509500024,169.1147969169997,168.76519542999995,176.81053264399998,165.72402424099982,426904.0,426864.0,426868.0,426860.0,426808.0
